Brand,Model,Processor_Brand,Processor_Name,Processor_Gnrtn,Ram_Gb,Ram_Type,Ssd,Hdd,Drive_Type,Os,Os_Bit,Warranty,Touchscreen,Msoffice,Latest_Price,Old_Price,Discount,Star_Rating,Ratings,Reviews
acer,Aspire,AMD,Ryzen,10th,4 GB,DDR4,,512 GB,HDD,Windows,32-bit,0,No,No,"?54,990","?89,000",38%,4.5,3190,414
acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,,512 GB,HDD,Windows,32-bit,0,No,No,"?59,990","?99,999",40%,4.5,1946,240
acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,,512 GB,HDD,Windows,32-bit,0,No,No,"?93,700","?139,000",33%,4.5,259,47
acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,,512 GB,HDD,Windows,32-bit,0,No,No,"?72,990","?99,999",27%,4.5,425,67
Avita,Cosmos,Intel,Celeron Dual,6th,4 GB,DDR4,,512 GB,HDD,Windows,64-bit,0,No,No,"?17,490","?23,490",26%,3.6,1120,196
ASUS,ExpertBook,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?35,990","?42,990",16%,0,0,0
HP,x360,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,Yes,No,"?56,490","?64,923",13%,0,0,0
HP,x360,Intel,Core i5,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?65,390","?76,436",14%,0,0,0
Lenovo,IdeaPad,Intel,Celeron Dual,6th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?31,999","?38,999",18%,4,286,19
HP,Celeron,Intel,Celeron Dual,6th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?32,490","?39,288",17%,4,58,6
Lenovo,IdeaPad,Intel,Celeron Dual,6th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?31,799","?36,999",14%,0,0,0
ASUS,VivoBook,Intel,Celeron Dual,6th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?29,890","?33,990",12%,4,7,0
ASUS,Celeron,Intel,Celeron Dual,6th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,No,"?23,990","?26,990",11%,3.8,15279,1947
HP,15q,Intel,Core i3,7th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,0,No,No,"?32,955",?0,0%,4.2,311,27
HP,250-G6,Intel,Core i5,7th,4 GB,DDR4,,1024 GB,HDD,Windows,32-bit,0,No,No,"?46,200",?0,0%,4.2,47,7
ASUS,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?34,429","?49,990",31%,4.1,37,6
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,256 GB,,SSD,Windows,32-bit,2,No,Yes,"?37,990","?57,990",34%,4.3,2080,235
ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,32-bit,1,No,Yes,"?35,990","?49,990",28%,4.3,1479,181
ASUS,VivoBook,Intel,Core i3,10th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?33,980","?46,990",28%,4.4,67,3
HP,Missing,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?39,990","?50,085",20%,4.2,273,30
DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?39,490","?43,312",9%,4.3,1267,171
RedmiBook,15,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,32-bit,1,No,No,"?38,990","?51,999",25%,4.3,1063,152
HP,Pavilion,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,Yes,Yes,"?53,990","?63,510",15%,4.6,14,0
acer,Aspire,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?38,990","?52,999",26%,0,0,0
realme,Book,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?46,990","?54,999",15%,4.4,6352,1014
ASUS,Missing,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?37,990","?52,990",28%,4.3,284,39
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?37,890","?51,990",27%,4.6,44,5
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?38,990","?60,890",36%,4.2,33,4
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?37,990","?57,990",34%,4.2,286,36
DELL,Vostro,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?41,990","?54,510",23%,3.6,10,5
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?45,990","?58,990",22%,4.5,816,147
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?39,990","?61,590",35%,4.3,543,65
DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?42,490","?59,654",29%,4.8,9,1
Infinix,INBook,Intel,Core i3,10th,8 GB,LPDDR4X,256 GB,,SSD,Windows,64-bit,0,No,No,"?32,990","?49,999",34%,4.3,1221,265
DELL,Vostro,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?36,990","?40,614",9%,4.3,1178,137
Lenovo,Ideapad,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,Yes,Yes,"?53,990","?75,490",28%,4.4,299,41
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?36,990","?52,990",30%,4.4,20,1
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,2,No,No,"?38,940","?48,200",19%,4.3,758,64
DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?39,490","?55,490",29%,4.4,634,64
Lenovo,Ideapad,Intel,Core i3,10th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,2,No,Yes,"?39,999","?59,999",33%,5,4,0
DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?42,990","?56,776",24%,4.3,17,2
DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,Yes,No,"?49,990","?68,658",27%,4.2,24,5
DELL,Vostro,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?41,490","?55,448",25%,4.3,1753,165
DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?41,990","?57,670",27%,4.2,216,21
Lenovo,Ideapad,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?41,990","?57,290",27%,4.4,1084,160
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?38,490","?51,990",26%,3.8,19,3
Lenovo,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?38,990","?51,544",24%,4.4,106,13
Lenovo,ThinkPad,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?44,990","?59,239",24%,4.1,42,4
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?36,490","?53,790",32%,0,0,0
Lenovo,Missing,Intel,Core i3,10th,8 GB,DDR4,256 GB,,SSD,Windows,32-bit,0,No,No,"?38,970","?56,590",31%,0,0,0
HP,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?44,900","?51,000",12%,4.2,1029,107
MSI,Missing,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?38,990","?53,900",28%,4.5,53,11
DELL,Vostro,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?44,427",?0,0%,0,0,0
ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?35,990","?46,990",23%,0,0,0
Lenovo,Ideapad,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?40,200","?49,999",20%,3.9,48,1
Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,32-bit,0,No,No,"?40,990","?56,800",28%,3.7,3,0
DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?42,490","?54,723",22%,0,0,0
realme,Book,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?47,999","?54,999",13%,4.4,6352,1014
acer,Chromebook,Intel,Celeron Dual,6th,4 GB,DDR4,,512 GB,HDD,Windows,32-bit,0,No,No,"?23,990","?27,000",11%,3.3,61,4
DELL,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,Yes,No,"?71,999","?72,246",0%,4.3,97,13
ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?39,990","?52,990",25%,4.4,181,19
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?41,998","?56,590",26%,4.4,529,39
ASUS,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,32-bit,0,No,No,"?41,990","?52,990",21%,0,0,0
Lenovo,Ideapad,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,2,No,Yes,"?39,999","?59,999",33%,0,0,0
ASUS,Commercial,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,32-bit,0,No,No,"?39,990","?47,990",17%,0,0,0
Lenovo,Ideapad,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?39,998","?60,090",33%,4.2,10,1
HP,14s,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?42,490","?45,892",7%,4.4,5205,561
Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,32-bit,0,No,No,"?41,990","?49,800",16%,3.7,3,0
ASUS,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,32-bit,0,No,No,"?48,490","?58,990",18%,0,0,0
HP,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,Yes,"?44,376","?45,376",2%,4.2,1090,96
DELL,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,32-bit,0,No,No,"?43,900","?57,095",23%,0,0,0
DELL,INSPIRON,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?46,690","?57,095",18%,0,0,0
Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,32-bit,0,No,No,"?40,990","?48,900",16%,5,1,1
DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?39,990","?49,821",20%,4,44,2
Lenovo,V15,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?43,990","?50,250",12%,0,0,0
ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?36,990","?44,990",18%,4.5,70,9
DELL,Missing,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,No,No,"?48,500","?58,493",17%,0,0,0
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,256 GB,,SSD,Windows,64-bit,0,No,No,"?48,990","?58,990",17%,0,0,0
ASUS,Chromebook,Intel,Celeron Dual,6th,4 GB,LPDDR4,,512 GB,HDD,Windows,32-bit,0,No,No,"?23,490","?29,990",22%,4.2,632,92
HP,Pavilion,Intel,Core i3,8th,4 GB,DDR4,256 GB,,SSD,Windows,64-bit,1,Yes,Yes,"?54,238",?0,0%,4.4,71,8
ASUS,VivoBook,Intel,Core i3,10th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?37,990","?50,990",25%,4.3,990,108
HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?42,990","?57,330",25%,4.4,158,18
HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?42,990","?49,590",13%,4.3,681,59
ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?35,990","?49,990",28%,4.4,130,12
RedmiBook,15,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,32-bit,1,No,No,"?42,990","?55,999",23%,4.3,1063,152
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?42,990","?57,990",26%,4.3,30,4
ASUS,VivoBook,Intel,Core i3,11th,8 GB,LPDDR4X,512 GB,,SSD,Windows,32-bit,1,Yes,Yes,"?51,990","?67,990",24%,4.7,6,2
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?48,990","?62,990",22%,4.5,174,30
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?42,990","?57,990",26%,4.5,40,7
Lenovo,Missing,Intel,Core i3,10th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?38,990","?62,190",37%,3.9,13,1
DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,0,No,No,"?45,990","?60,908",24%,4.3,184,29
HP,Missing,Intel,Core i3,10th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?42,490","?50,294",16%,4.3,1296,126
HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?43,970","?50,196",12%,4.3,571,56
ASUS,Missing,Intel,Core i3,10th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?39,990","?49,990",20%,4.3,2551,297
MSI,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,0,No,No,"?48,990","?49,590",1%,4.5,17,3
HP,Pavilion,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?54,990","?69,267",21%,4.5,35,3
MSI,Missing,Intel,Core i3,10th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,0,No,No,"?40,990","?55,990",27%,4.4,118,17
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?41,990","?55,990",25%,0,0,0
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,Yes,No,"?54,990","?79,690",31%,4.5,245,34
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?44,990","?46,390",3%,4.4,2058,305
HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?41,250","?46,602",11%,4.1,117,11
HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,0,No,No,"?44,990","?52,900",15%,0,0,0
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?42,990","?57,990",26%,4.7,74,11
DELL,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,Yes,No,"?60,790","?78,307",22%,4.4,10,1
HP,Missing,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,0,No,No,"?45,650","?55,202",17%,4.1,39,4
DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?41,990","?49,826",16%,3.9,29,7
DELL,Inspiron,Intel,Core i3,10th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?45,490","?60,046",24%,4.2,43,4
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?44,990","?58,990",24%,0,0,0
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,2,No,Yes,"?42,990","?63,790",33%,4.4,984,99
HP,15s,Intel,Core i3,11th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?45,490","?46,990",3%,4.3,523,66
HP,Missing,Intel,Core i3,10th,4 GB,DDR4,512 GB,,SSD,Windows,32-bit,0,No,No,"?38,799","?47,916",19%,4.4,30,1
HP,Pavilion,Intel,Core i3,11th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,Yes,Yes,"?69,267",?0,0%,0,0,0
ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?51,649","?62,990",18%,0,0,0
HP,Missing,Intel,Core i3,11th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?47,990","?51,165",6%,4.3,1605,215
ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?40,990","?49,990",18%,4.4,4008,519
ASUS,Missing,Intel,Core i3,10th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?42,990","?50,990",16%,4.4,1869,234
ASUS,VivoBook,Intel,Core i3,11th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?44,890","?56,999",21%,3.9,7,0
ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,No,"?41,490","?49,990",17%,4.4,4008,519
HP,15s,Intel,Core i3,11th,4 GB,DDR4,512 GB,,SSD,Windows,32-bit,1,No,No,"?50,990","?51,748",1%,0,0,0
HP,Missing,Intel,Core i3,11th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,No,Yes,"?48,900","?50,000",2%,4.3,1278,135
DELL,Vostro,Intel,Core i3,10th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,0,No,No,"?41,790","?54,784",24%,0,0,0
Lenovo,Ideapad,Intel,Core i3,11th,4 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,Yes,Yes,"?57,999","?85,000",32%,3.4,10,2
DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,0,No,No,"?45,930","?58,229",21%,0,0,0
HP,Pavilion,Intel,Core i3,11th,8 GB,DDR4,512 GB,,SSD,Windows,64-bit,1,Yes,Yes,"?55,490","?65,853",16%,4.3,143,15
ASUS,VivoBook,Intel,Core i3,10th,8 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,No,"?32,890","?46,990",30%,3.9,28,4
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,Yes,"?35,990","?57,290",37%,4,2124,233
DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,,1024 GB,HDD,Windows,64-bit,0,No,No,"?42,490","?50,693",16%,4,276,40
DELL,Vostro,Intel,Core i3,11th,8 GB,DDR4,,1024 GB,HDD,Windows,64-bit,0,No,No,"?42,190","?44,780",6%,3.9,250,21
DELL,Vostro,Intel,Core i3,10th,8 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,Yes,"?39,490","?54,517",28%,4,1917,189
HP,15s,Intel,Core i3,11th,8 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,Yes,"?43,690","?48,933",11%,4.1,4999,490
ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,No,"?35,990","?48,990",27%,3.8,17,0
DELL,3000,Intel,Core i3,11th,8 GB,DDR4,,1024 GB,HDD,Windows,32-bit,0,No,No,"?43,800","?55,506",21%,4.2,17,0
Lenovo,Missing,Intel,Core i3,10th,8 GB,DDR4,,1024 GB,HDD,Windows,32-bit,0,No,No,"?38,990","?55,890",30%,0,0,0
ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,No,"?34,990","?40,990",15%,3.7,4203,490
ASUS,VivoBook,Intel,Core i3,11th,8 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,No,"?38,900","?51,990",25%,3.9,13,0
DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,No,"?39,990","?55,534",28%,3.8,15,1
DELL,INSPIRON,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,32-bit,0,No,No,"?40,890","?45,990",11%,4,527,46
Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,No,"?36,990","?57,990",36%,3.7,103,10
HP,15s,Intel,Core i3,11th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,Yes,"?39,990","?45,514",12%,3.9,324,45
HP,Missing,Intel,Core i3,11th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,Yes,"?41,990","?47,264",11%,4,69,5
DELL,Missing,Intel,Core i3,11th,4 GB,DDR4,,1024 GB,HDD,Windows,32-bit,0,No,No,"?43,970","?46,138",5%,3.9,16,0
HP,Notebook,Intel,Core i3,11th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,No,"?39,790","?43,296",8%,3.9,40,3
ASUS,Missing,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,32-bit,0,No,No,"?35,590","?45,990",23%,3.4,12,1
HP,14s,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,Yes,"?36,490","?42,787",15%,3.8,1146,175
ASUS,VivoBook,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,Yes,"?38,990","?45,990",15%,4,1850,216
ASUS,Missing,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,32-bit,0,No,No,"?33,990","?39,990",15%,3.7,43,7
DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,Yes,"?43,400","?49,000",11%,4.1,231,26
ASUS,Chromebook,Intel,Celeron Dual,6th,4 GB,LPDDR4,,512 GB,HDD,Windows,32-bit,0,No,No,"?24,990","?30,990",19%,4.2,502,93
HP,15s,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,Yes,"?40,750","?43,090",5%,4.1,1096,116
DELL,Inspiron,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,Yes,"?43,000","?46,629",8%,4.1,313,35
ASUS,Vivo,Intel,Core i3,10th,4 GB,DDR4,,1024 GB,HDD,Windows,64-bit,0,No,No,"?38,000","?42,990",12%,4.7,7,0
DELL,Inspiron,Intel,Core i3,11th,8 GB,DDR4,,1024 GB,HDD,Windows,64-bit,1,No,Yes,"?37,990","?51,493",26%,3.7,265,46
HP,DA,Intel,Core i3,7th,8 GB,DDR4,,1024 GB,HDD,Windows,64-bit,0,No,No,"?49,279",?0,0%,4.5,38,3
